run,condition,conflict_count,tuc_seconds,hard_los_count,,,,
1,baseline,239,0,239,,,0,0
2,baseline,143,0,143,,,544,449
3,baseline,226,0,226,,,103.8458454,75.0109452
4,baseline,191,2,191,,,,
5,baseline,268,1,268,,,,
6,baseline,97,0,97,,,,
7,baseline,265,0,265,,,,
8,baseline,108,0,108,,,,
9,baseline,50,0,50,,,,
10,baseline,250,0,250,,,,
11,baseline,273,0,273,,,,
12,baseline,179,0,179,,,,
13,baseline,146,0,146,,,,
14,baseline,114,0,114,,,,
15,baseline,153,1,153,,,,
16,baseline,194,1,194,,,,
17,baseline,167,0,167,,,,
18,baseline,463,0,463,,,,
19,baseline,128,0,128,,,,
20,baseline,30,0,30,,,,
21,baseline,382,0,382,,,,
22,baseline,288,0,288,,,,
23,baseline,59,0,59,,,,
24,baseline,39,0,39,,,,
25,baseline,195,0,195,,,,
26,baseline,72,0,72,,,,
27,baseline,263,0,263,,,,
28,baseline,126,0,126,,,,
29,baseline,302,0,302,,,,
30,baseline,40,0,40,,,,
31,baseline,161,0,161,,,,
32,baseline,40,0,40,,,,
33,baseline,162,0,162,,,,
34,baseline,113,0,113,,,,
35,baseline,138,1,138,,,,
36,baseline,95,0,95,,,,
37,baseline,46,0,46,,,,
38,baseline,199,2,199,,,,
39,baseline,36,0,36,,,,
40,baseline,163,0,163,,,,
41,baseline,83,0,83,,,,
42,baseline,284,0,284,,,,
43,baseline,62,0,62,,,,
44,baseline,42,0,42,,,,
45,baseline,16,0,16,,,,
46,baseline,64,0,64,,,,
47,baseline,274,0,274,,,,
48,baseline,321,0,321,,,,
49,baseline,91,0,91,,,,
50,baseline,174,0,174,,,,
51,baseline,104,0,104,,,,
52,baseline,272,0,272,,,,
53,baseline,198,0,198,,,,
54,baseline,0,0,0,,,,
55,baseline,99,0,99,,,,
56,baseline,77,0,77,,,,
57,baseline,33,0,33,,,,
58,baseline,39,0,39,,,,
59,baseline,145,0,145,,,,
60,baseline,60,0,60,,,,
61,baseline,76,0,76,,,,
62,baseline,58,0,58,,,,
63,baseline,0,0,0,,,,
64,baseline,0,0,0,,,,
65,baseline,0,0,0,,,,
66,baseline,190,0,190,,,,
67,baseline,104,0,104,,,,
68,baseline,160,0,160,,,,
69,baseline,0,0,0,,,,
70,baseline,544,0,544,,,,
71,baseline,27,0,27,,,,
72,baseline,0,0,0,,,,
73,baseline,39,0,39,,,,
74,baseline,78,0,78,,,,
75,baseline,42,0,42,,,,
76,baseline,43,0,43,,,,
77,baseline,41,0,41,,,,
78,baseline,39,2,39,,,,
79,baseline,91,1,91,,,,
80,baseline,21,0,21,,,,
81,baseline,88,0,88,,,,
82,baseline,123,0,123,,,,
83,baseline,38,0,38,,,,
84,baseline,174,0,174,,,,
85,baseline,102,0,102,,,,
86,baseline,157,0,157,,,,
87,baseline,195,0,195,,,,
88,baseline,243,0,243,,,,
89,baseline,42,0,42,,,,
90,baseline,22,0,22,,,,
91,baseline,148,0,148,,,,
92,baseline,0,0,0,,,,
93,baseline,0,0,0,,,,
94,baseline,103,1,103,,,,
95,baseline,60,0,60,,,,
96,baseline,42,0,42,,,,
97,baseline,89,0,89,,,,
98,baseline,0,0,0,,,,
99,baseline,154,0,154,,,,
100,baseline,24,0,24,,,,
1,ai,229,0,229,,,,
2,ai,186,1,186,,,,
3,ai,85,0,85,,,,
4,ai,0,0,0,,,,
5,ai,175,0,175,,,,
6,ai,51,0,51,,,,
7,ai,163,0,163,,,,
8,ai,111,0,111,,,,
9,ai,39,0,39,,,,
10,ai,353,2,353,,,,
11,ai,42,0,42,,,,
12,ai,123,0,123,,,,
13,ai,144,0,144,,,,
14,ai,121,0,121,,,,
15,ai,52,0,52,,,,
16,ai,51,0,51,,,,
17,ai,195,0,195,,,,
18,ai,61,0,61,,,,
19,ai,105,1,105,,,,
20,ai,64,0,64,,,,
21,ai,0,0,0,,,,
22,ai,86,0,86,,,,
23,ai,56,0,56,,,,
24,ai,191,0,191,,,,
25,ai,33,1,33,,,,
26,ai,168,0,168,,,,
27,ai,0,0,0,,,,
28,ai,0,0,0,,,,
29,ai,142,0,142,,,,
30,ai,124,0,124,,,,
31,ai,75,0,75,,,,
32,ai,124,0,124,,,,
33,ai,224,0,224,,,,
34,ai,38,0,38,,,,
35,ai,55,0,55,,,,
36,ai,75,0,75,,,,
37,ai,230,0,230,,,,
38,ai,54,0,54,,,,
39,ai,36,0,36,,,,
40,ai,26,0,26,,,,
41,ai,0,0,0,,,,
42,ai,22,0,22,,,,
43,ai,45,0,45,,,,
44,ai,33,0,33,,,,
45,ai,164,0,164,,,,
46,ai,449,0,449,,,,
47,ai,0,0,0,,,,
48,ai,68,0,68,,,,
49,ai,39,0,39,,,,
50,ai,120,0,120,,,,
51,ai,70,0,70,,,,
52,ai,65,0,65,,,,
53,ai,91,0,91,,,,
54,ai,147,1,147,,,,
55,ai,76,0,76,,,,
56,ai,32,0,32,,,,
57,ai,5,0,5,,,,
58,ai,0,0,0,,,,
59,ai,40,0,40,,,,
60,ai,36,0,36,,,,
61,ai,36,0,36,,,,
62,ai,0,0,0,,,,
63,ai,68,0,68,,,,
64,ai,154,0,154,,,,
65,ai,92,0,92,,,,
66,ai,36,0,36,,,,
67,ai,121,0,121,,,,
68,ai,9,0,9,,,,
69,ai,52,0,52,,,,
70,ai,17,0,17,,,,
71,ai,89,0,89,,,,
72,ai,153,1,153,,,,
73,ai,33,0,33,,,,
74,ai,43,0,43,,,,
75,ai,69,0,69,,,,
76,ai,0,0,0,,,,
77,ai,0,0,0,,,,
78,ai,113,0,113,,,,
79,ai,102,0,102,,,,
80,ai,205,0,205,,,,
81,ai,46,0,46,,,,
82,ai,108,0,108,,,,
83,ai,0,0,0,,,,
84,ai,60,0,60,,,,
85,ai,49,0,49,,,,
86,ai,31,0,31,,,,
87,ai,0,0,0,,,,
88,ai,106,0,106,,,,
89,ai,39,0,39,,,,
90,ai,0,0,0,,,,
91,ai,64,0,64,,,,
92,ai,64,0,64,,,,
93,ai,70,0,70,,,,
94,ai,24,0,24,,,,
95,ai,22,0,22,,,,
96,ai,38,0,38,,,,
97,ai,0,0,0,,,,
98,ai,37,0,37,,,,
99,ai,113,0,113,,,,
100,ai,39,0,39,,,,
